DNXW,Dlc Socgen5xshort Wilmar
DOXW,Dlc Socgen5xlong Dbs
DPIW,Dlc Socgen5xshort Kepcorp
DPWW,Dlc Socgen5xlong Aia
DQDW,Dlc Socgen5xshort Geely
DQFW,Sti 2700 Mb Epw190930
DQTW,Dlc Socgen5xshort Tencent
DRWW,Dlc Socgen5xlong Geely
DRX,St Group Food
DSAW,Dlc Sg5xlong Sands
DSBW,Dlc Socgen5xlong Tencent A
DSCW,Dlc Socgen5xshort Galaxy
DSIW,Dlc Sg5xlong Sia
DSLW,Dlc Sg5xshort Sia
DSNW,Dlc Sg5xlong Sunny
DSYW,Dlc Socgen5xlong Petchina
DTAW,Dlc Socgen5xshort Petchina
DTNW,Dlc Socgen5xlong Galaxy
DTUW,Nikkei225 23000 Mb Ecw190913
DU4,Mermaid Maritime Public Co Ltd
DUZW,Dlc Socgen5xlong Ocbc
DVEW,Sti 3200 Mb Ecw190628
DVOW,Dlc Socgen5xlong Hkex
DVVW,Dlc Socgen5xshort Hkex
DWBW,Dlc Socgen5xshort Ccb
DWRW,Hsi 22000 Mb Epw190627
DXE,Sevak 1
DXMW,Dlc Socgen5xlong Ccb
DXUW,Dlc Socgen5xshort Yzj
DYAW,Dlc Socgen5xshort Hsbc
DZLW,Dlc Socgen5xlong Hsbc
E16,Elec & Eltek Int Co Ltd
E27,Eucon Holding Limited
E28,Frencken Group Limited
E3B,Wee Hur Holdings Ltd.
E5H,Golden Agri-resources Ltd
E6R,Samko Timber Limited
E8Z,Roxy-pacific Holdings Limited
E90,China Sky Chem Fibre Co. Ltd.
E9L,Joyas International Hldgs Ltd
EB5,First Resources Limited
EB7,Ktl Global Limited
EE6,Mercator Lines (singapore) Ltd
EG0,Jes International Holdings Ltd
EH5,United Overseas Australia Ltd
ENBW,Simsci 400 Mbl Ecw190930
ER0,Ksh Holdings Limited
ES3,Sti Etf
F03,Food Empire Holdings Limited
F10,F J Benjamin Holdings Ltd
F13,Fu Yu Corporation Ltd
F17,Guocoland Limited
F1E,Low Keng Huat (singapore) Ltd
F25U,Fortune Real Estate Inv Trust
F31,Fragrance Group Limited
F34,Wilmar International Limited
F3V,Sino Construction Limited
F83,Cosco Corporation (s) Ltd
F86,Cougar Logistics Corpn Ltd
F99,Fraser And Neave Limited
F9D,Boustead Singapore Limited
FIAW,China Real Estate W230726
FQ7,Jasper Investments Limited
FQ8,China Sports Intl Limited
G07,Great Eastern Hldgs Ltd
G0I,Nam Lee Pressed Metal Inds Ltd
G11,Global Tech (hldgs) Limited
G13,Genting Singapore Plc
G1N,Lyxor Etf Msci India 10
G20,Gp Industries Limited
G3B,Dbs Singapore Sti Etf
G41,G. K. Goh Holdings Limited
G50,Grand Banks Yachts Limited
G54,China Essence Group Ltd.
G92,China Aviation Oil(s) Corp Ltd
GACW,S&p500 2400 Mb Epw190920
GDEW,Dlc Socgen7xlongmsg 220225
GNLW,Thomson Med Grp Ltdw220424
GSTW,S&p500 2850 Mb Ecw190920
GU5,China Kunda Tech Holdings Ltd
GWKW,Dbs Mb Epw190730
GXVW,Tencenthld Mb Epw190926
GXYW,Ezion Holdings Limitedw200412
H02,Haw Par Corp Ltd
H07,Stamford Land Corporation Ltd
H12,Hotel Royal Ltd
H13,Ho Bee Investment Limited
H15,Hotel Properties Ltd
H16,Huan Hsin Holdings Ltd
H17,Hi-p International Limited
H18,Hotel Grand Central Ltd
H19,Hwa Hong Corporation Limited
H1N,Lyxor Etf Msci Emerging Mkt 10
H20,Hoe Leong Corporation Ltd.
H22,Hong Leong Asia Ltd.
H30,Hong Fok Corporation Ltd
H78,Hongkong Land Holdings Limited
HBXW,Uob Mb Ecw200107
HD6,Dbxt S&p 500 Short Etf 10
HD7,Dbxt Msci Taiwan Etf 10
HD8,Dbxt Ft China 25 Etf 10
HD9,Dbxt Ftse Vietnam Etf 10
HE0,Dbxt S&p Cnx Nifty Etf 10
HGWW,Hsi 32600 Ubecw190627
HNTW,Simsci 340mbepw191231
i06,Intraco Limited
i07,Isdn Holdings Limited
i11,Ipco Int'l Limited
i15,Isetan (singapore) Ltd
i26,Inno-pacific Holdings Ltd
i49,Ifs Capital Limited
I5H,Great Group Holdings Limited
I98,Is Msci India 100
I9T,Ziwo Holdings Ltd.
IBSW,Dbs Mb Epw191202
IEEW,Hsi 25800 Ubepw190627
IH0,Dbxt Euro Stoxx 50 Etf 10
IH1,Dbxt Msci Asia Ex Japan Etf 10
IH2,Dbxt Msci Korea Etf 10
IH3,Dbxt Msci Europe Etf 10
IPKW,S&p500 2600 Mb Epw191220
IW5,Seroja Investments Limited
IWKW,Envictus Intl Holdings W221128
IX2,Pec Ltd.
J03,Jadason Enterprises Ltd
J0O,Dbxt Msci Brazil Trn Etf 10
J0P,Dbxt Msci World Trn Etf 10
J0Q,Dbxt Msci Pacific Exjap Etf 10
J0R,Dbxt Msci Russia Cap 25 Etf 10
J17,Jackspeed Corporation Limited
J18,China Jishan Holdings Limited
J2T,Hock Lian Seng Holdings Ltd
J36,Jardine Matheson Hldgs Ltd
J37,Jardine Strategic Hldgs Ltd
J69U,Frasers Centrepoint Trust
J85,Cdl Hospitality Trusts
J91U,Cambridge Industrial Trust
JK8,United Sse 50 China Etf
JLB,Grand Venture Technology Ltd
JPPW,Hsi 31000 Mbecw190627
JRCB,Firstsponsor3.98%s2pccs#
JYIW,Dlc Socgen7xlonghsi 210723
K03,Khong Guan Flour Milling Ltd
K1Q,Ttj Holdings Limited
K22,Kian Ho Bearings Ltd
K29,Karin Technology Hldgs Limited
K2LU,Cache Logistics Trust
K3CD,China Eastern Air Adr 10
K3DD,Sinopec Petrochemical Adr 10
K3ED,China Telecom Adr 10
K3FD,Huaneng Power Intl Adr 10
K3HD,Aluminum Corp Of China Adr 10
K3ID,China Unicom Hk Ltd Adr 10
K3JD,Changyou.com Adr 10
K3MD,Netease.com Adr 10
K3OD,Petrochina Adr 10
K3PD,Chinamobile Adr 10
K3RD,Ctrip.com International Adr 10
K3SD,Baidu.com Adr 10
K3TD,China Southern Air Adr 10
K6K,Dbxt S&p500 Etf 10
K6S,Prudential Plc
K71U,K-reit Asia
K75,Koh Brothers Group Limited
KDVW,Dlc Socgen7xlonghsi 220225
KF8,Dbxt Msci Usa Etf 10
KFVW,Nikkei225 18000 Mb Epw190913
KHDW,Koh Brothers Eco Engg W230925
KI3,Hu An Cable Holdings Ltd.
KJ5,Bbr Holdings (s) Ltd
KJ7,Dbxt Msci Indonesia Etf 10
KNPW,Hsi 25800 Ubecw190627
KREW,Wilmar Mb Ecw190801
KT3,Dbxt Stoxx Glob Div 100 Etf 10
KT4,Dbxt Csi300 Etf 10
KT9,Qingmei Group Holdings Limited
KTAW,Hsi 28400 Mbecw190829
KUH,Tsh Corporation Ltd
KUO,International Cement Groupltd.
KUX,Dlf Holdings Limited
KV4,Dbxt Iboxx Singapore Etf 5
